id,customer_id,order_date,sku_id,price,qty_ordered,before_discount,discount_amount,after_discount,is_gross,is_valid,is_net,payment_id,payment_method,registered_date,sku_name,cogs,category
ODR7673587024b,C180595L,2022-04-17,P619324,5626000,1,5626000,348000,5278000,1,0,0,7,Easy Pay,2022-04-22,Samsung Galaxy S8 Plus Black,4782100,Mobiles & Tablets
ODR7333927150n,C587425L,2022-12-04,P619324,5626000,1,5626000,348000,5278000,1,0,0,7,Easy Pay,2022-03-22,Samsung Galaxy S8 Plus Black,4782100,Mobiles & Tablets
ODR5577016106c,C612225L,2022-04-18,P624937,5046000,1,5046000,348000,4698000,1,0,0,6,Easy Pay Voucher,2022-04-24,Samsung Galaxy S8 black,3734040,Mobiles & Tablets
ODR2742098359u,C909222L,2021-11-23,P611114,2783942,1,2783942,278394,2505547,1,0,0,4,Pay axis,2021-11-11,Samsung Samsung 40 Inch J5000 Full HD LED TV,2338502,Entertainment
ODR8871522735u,C648252L,2021-11-24,P611114,2783942,1,2783942,278394,2505547,1,0,0,2,Jazz Voucher,2021-09-08,Samsung Samsung 40 Inch J5000 Full HD LED TV,2338502,Entertainment
ODR2463904091r,C869172L,2022-04-15,P873818,841000,2,1682000,254887,1427112,1,1,0,1,COD,2022-01-20,SNU Tena Durrani TD16W Kelly,529830,Women Fashion
ODR6490492565x,C608898L,2021-11-24,P725301,2505600,1,2505600,250560,2255040,1,0,0,5,Jazz Wallet,2021-11-07,FHM LUCID COMFORT1,1578528,Home & Living
ODR8571593980v,C315164L,2022-05-22,P165743,1247522,1,1247522,178376,1069145,1,0,0,4,Pay axis,2021-11-05,Swatch YOS413,998006,Men Fashion
ODR6931838372y,C904928L,2022-05-22,P113237,5103942,1,5103942,174000,4929942,1,0,0,4,Pay axis,2022-05-18,Samsung 49inchesK5300,3930022,Entertainment
ODR3638381880v,C317777L,2022-12-06,P534748,3440850,1,3440850,174000,3266850,1,0,0,4,Pay axis,2021-12-06,Haier HSU 18 HNF,2718228,Appliances
ODR9082271739m,C353808L,2022-05-21,P506029,2869840,1,2869840,174000,2695840,1,0,0,4,Pay axis,2022-05-09,Dell DELL 5559 I5,1750556,Computing
ODR7786748966g,C257393L,2022-05-22,P506029,2869840,1,2869840,174000,2695840,1,0,0,4,Pay axis,2021-11-09,Dell DELL 5559 I5,1750556,Computing
ODR8603367876u,C261226L,2022-05-19,P942842,2320000,1,2320000,174000,2146000,1,0,0,4,Pay axis,2022-05-17,interwood HF 01ILO 40659,1197120,Home & Living
ODR3138948564v,C609754L,2022-11-06,P622378,1195902,1,1195902,174000,1021902,1,1,1,4,Pay axis,2022-06-22,AYS 32 32G6530,1076306,Entertainment
ODR6438394533v,C795052L,2022-11-06,P196053,918952,1,918952,174000,744952,1,1,1,4,Pay axis,2022-05-18,Delsey 384182100,698378,Home & Living
ODR1691826218q,C118563L,2022-11-06,P748128,762062,1,762062,174000,588062,1,1,1,7,Easy Pay,2022-06-07,HP PRINTER LJ M102AW,609638,Computing
ODR7001698821u,C944560L,2022-10-06,P121025,695942,1,695942,174000,521942,1,1,1,7,Easy Pay,2022-06-22,timex T2P041,544562,Men Fashion
ODR4038166477p,C318081L,2022-12-06,P605642,584930,1,584930,174000,410930,1,0,0,7,Easy Pay,2022-06-17,Timex TW00PR205,491318,Men Fashion
ODR2670401704u,C385750L,2022-07-29,P666155,377000,1,377000,174000,203000,1,1,1,1,COD,2022-07-08,Ifitness Golden Star,316680,Health & Sports
ODR4788160083h,C809015L,2022-11-06,P607644,547230,1,547230,164169,383061,1,1,1,7,Easy Pay,2022-06-13,sehgalmotors 6508,388484,Superstore
ODR3911162372f,C269751L,2022-05-21,P266974,463420,2,926840,162342,764498,1,0,0,4,Pay axis,2022-05-04,GA FE 25 141203,356816,Women Fashion
ODR1682702313i,C506704L,2021-11-24,P985474,710500,1,710500,156310,554190,1,0,0,4,Pay axis,2021-11-27,RMSON TM1274 LW BK,525770,Women Fashion
ODR1930700725k,C890940L,2021-11-21,P985524,62350,10,623500,124700,498800,1,1,1,5,Jazz Wallet,2021-09-28,sg Combo BF 07,47966,Beauty & Grooming
ODR8227209830v,C518000L,2021-11-20,P696943,3944000,1,3944000,118320,3825680,1,0,0,2,Jazz Voucher,2021-11-28,interwood HF 01CHS MG 39739,2839680,Home & Living
ODR1282129843m,C314557L,2022-05-22,P666295,4524000,2,9048000,116000,8932000,1,0,0,4,Pay axis,2022-05-13,FHM BOXTER1,4593600,Home & Living
ODR8524995988x,C533504L,2022-05-21,P902887,8119942,1,8119942,116000,8003942,1,0,0,4,Pay axis,2022-05-12,Samsung 55inchesK6500,6089942,Entertainment
ODR2677333053l,C841181L,2022-04-13,P619324,5626000,1,5626000,116000,5510000,1,0,0,7,Easy Pay,2022-04-21,Samsung Galaxy S8 Plus Black,4782100,Mobiles & Tablets
ODR3911485437u,C394285L,2022-07-21,P491862,2669740,2,5339480,116000,5223480,1,0,0,1,COD,2022-07-07,SharpLC40LE185M,2109054,Entertainment
ODR6257188294v,C338431L,2022-01-08,P672833,2212410,2,4424820,116000,4308820,1,0,0,1,COD,2022-08-21,Panasonic 40D310,1880534,Entertainment
ODR7358532156c,C548952L,2022-06-18,P775406,3799000,1,3799000,116000,3683000,1,0,0,4,Pay axis,2022-06-02,R&I HGR 6.05 KV D,2849250,Appliances
ODR7345593685t,C805381L,2022-05-20,P726605,3335000,1,3335000,116000,3219000,1,0,0,4,Pay axis,2022-04-13,Ifitness JW901,2901450,Health & Sports
ODR9772614440a,C232406L,2022-06-07,P491161,2588250,1,2588250,116000,2472250,1,0,0,7,Easy Pay,2021-08-01,Haier HSU 12 HNF,1734084,Appliances
ODR2038445780c,C256400L,2022-07-28,P924655,2215542,1,2215542,116000,2099542,1,1,0,1,COD,2022-07-06,Surmawala Haier HDF 385H,1351458,Appliances
ODR3056818607f,C544122L,2022-03-08,P672833,2212410,1,2212410,116000,2096410,1,1,0,1,COD,2022-05-13,Panasonic 40D310,1880534,Entertainment
ODR1552624241a,C432189L,2022-06-16,P672833,2212410,1,2212410,116000,2096410,1,0,0,4,Pay axis,2022-06-10,Panasonic 40D310,1880534,Entertainment
ODR4584946511r,C495308L,2022-07-25,P672833,2212410,1,2212410,116000,2096410,1,0,0,1,COD,2022-07-28,Panasonic 40D310,1880534,Entertainment
ODR3666240908f,C799285L,2022-07-29,P504960,2131500,1,2131500,116000,2015500,1,0,0,1,COD,2022-03-02,Surmawala Orient 68635 IP Refrigerator Silver Grey,1364160,Appliances
ODR3307723885c,C225454L,2022-07-22,P956967,2040150,1,2040150,116000,1924150,1,1,0,1,COD,2022-05-12,RUBD LE 40 inches   LED   HD Ready,1428076,Entertainment
ODR3042821814j,C278051L,2022-07-30,P888661,1950540,1,1950540,116000,1834540,1,0,0,4,Pay axis,2022-07-18,Surmawala Haier 12ECO Air Conditioner White,1579920,Appliances
ODR9240428551v,C713963L,2022-07-13,P894459,1911680,1,1911680,116000,1795680,1,1,1,7,Easy Pay,2022-05-04,UNEL Haier 42 Inch B9000,1624928,Entertainment
ODR9861293389m,C565012L,2022-03-08,P837041,1705142,1,1705142,116000,1589142,1,1,1,4,Pay axis,2022-08-03,Surmawala Haier HWM85 7288 Washing Machine White,1108322,Appliances
ODR1934504823t,C481492L,2022-07-26,P819695,1668370,1,1668370,116000,1552370,1,1,0,1,COD,2022-07-15,AYS CX 39U564G,1234588,Entertainment
ODR4584584232t,C535886L,2022-07-27,P819695,1668370,1,1668370,116000,1552370,1,0,0,4,Pay axis,2022-05-17,AYS CX 39U564G,1234588,Entertainment
ODR8765194693i,C763177L,2022-07-28,P819695,1668370,1,1668370,116000,1552370,1,0,0,7,Easy Pay,2022-07-18,AYS CX 39U564G,1234588,Entertainment
ODR8324207191r,C304965L,2022-07-29,P819695,1668370,1,1668370,116000,1552370,1,1,1,1,COD,2021-07-13,AYS CX 39U564G,1234588,Entertainment
ODR7636766563z,C807679L,2022-07-30,P819695,1668370,1,1668370,116000,1552370,1,0,0,1,COD,2022-07-20,AYS CX 39U564G,1234588,Entertainment
ODR2253386908p,C392296L,2021-11-22,P383378,290000,4,1160000,116000,1044000,1,1,1,5,Jazz Wallet,2021-11-04,ARY Jewellers 1 Gram Millat Gold Coin   Karachi,217500,Women Fashion
ODR4349856216c,C551481L,2022-01-07,P628256,1154142,1,1154142,116000,1038142,1,1,1,1,COD,2021-11-12,AYS 32 32u561,888676,Entertainment
ODR9742859929l,C295434L,2022-06-29,P210596,1044000,1,1044000,116000,928000,1,0,0,7,Easy Pay,2022-06-07,seagate STDR4000300 4TB,699480,Computing
ODR5844815376j,C676393L,2022-03-21,P855211,1044000,1,1044000,116000,928000,1,0,0,7,Easy Pay,2021-07-27,test product,58,Others
ODR9801833134g,C235587L,2022-06-22,P977249,271440,1,271440,116000,155440,1,1,1,1,COD,2022-06-28,GMZV FIFA 17 XBOX ONE,345100,Entertainment
ODR3285485494w,C761888L,2021-11-23,P396546,3247420,1,3247420,97422,3149997,1,0,0,2,Jazz Voucher,2021-11-04,R&I Generator 6KVG,3404310,Appliances
ODR6596011115s,C284236L,2022-11-05,P475499,118320,5,591600,88740,502860,1,1,1,4,Pay axis,2021-09-03,RAF 800mlx12,86362,Superstore
ODR1393906883x,C483469L,2021-11-18,P546750,290000,3,870000,87000,783000,1,0,0,5,Jazz Wallet,2021-07-26,ARY Jewellers 1 Gram Millat Gold Coin   Lahore,194300,Women Fashion
ODR8648637213r,C856647L,2022-03-26,P950527,649600,1,649600,87000,562600,1,1,1,7,Easy Pay,2022-03-03,Audionic Rb 106,480704,Computing
ODR6859592351r,C822265L,2021-01-10,P151006,1721150,2,3442300,86057,3356242,1,0,0,4,Pay axis,2021-09-01,dawlance ES15 1.0 Ton AC,1064358,Appliances
ODR5374673151h,C367865L,2022-06-16,P987831,545200,1,545200,85260,459940,1,0,0,4,Pay axis,2022-06-21,Lacie STET2000400 2TB,490680,Computing
ODR3517561564r,C700491L,2022-06-07,P379182,562600,1,562600,84390,478210,1,0,0,7,Easy Pay,2022-07-03,Victorinox   TRAVELLER KIT,343186,Men Fashion
ODR5050363774l,C157544L,2022-06-16,P497470,522000,1,522000,84100,437900,1,1,0,4,Pay axis,2021-11-18,Voucher 9000,459360,Others
ODR8854148252t,C522507L,2022-05-20,P715035,501062,1,501062,83053,418008,1,0,0,4,Pay axis,2022-05-27,Swatch YAS407,370736,Men Fashion
ODR1653549677a,C693323L,2022-06-18,P475499,118320,2,236640,82824,153816,1,1,1,4,Pay axis,2022-05-18,RAF 800mlx12,86362,Superstore
ODR7982663802t,C566330L,2022-05-21,P519736,1033502,1,1033502,79786,953715,1,0,0,13,Easy Pay MA,2022-05-10,Swatch SVCG4000AG,702728,Men Fashion
ODR3715817392d,C715327L,2022-04-05,P997843,531280,1,531280,79692,451588,1,1,1,4,Pay axis,2022-05-26,Ricoh Monochrome Printer SP 212w,371896,Computing
ODR8016343320s,C483469L,2021-11-18,P711041,783000,1,783000,78300,704700,1,0,0,2,Jazz Voucher,2021-07-26,Castillo CDT 748 Black 42,626400,Men Fashion
ODR8181443587g,C468569L,2022-03-25,P240010,376304,1,376304,75260,301043,1,0,0,7,Easy Pay,2022-02-15,Timex T49925,233276,Men Fashion
ODR4856239093a,C438658L,2022-06-16,P466252,336400,1,336400,74820,261580,1,0,0,4,Pay axis,2021-09-08,SFEVER CA488HB0V4HJONAFAMZ,279212,Beauty & Grooming
ODR8840710864r,C914093L,2021-11-19,P495211,4930,100,493000,73950,419050,1,0,0,5,Jazz Wallet,2021-07-04,shahi buy one get one free Shahi Dal Moong,3712,Soghaat
ODR4364569521q,C189692L,2022-06-07,P975815,493000,1,493000,73950,419050,1,1,1,7,Easy Pay,2022-05-02,ALK FC 15 17 A131140056,330310,Women Fashion
ODR5408248410v,C862596L,2022-05-22,P222416,290000,1,290000,72500,217500,1,1,1,4,Pay axis,2022-05-02,HOS m VEREFM100,182410,Beauty & Grooming
ODR8147245502x,C160493L,2021-09-30,P620394,238786,15,3581790,71635,3510154,1,1,0,4,Pay axis,2021-08-28,West Point WF 7901GL,143260,Appliances
ODR4214658143e,C988571L,2022-06-15,P475499,118320,3,354960,70992,283968,1,0,0,4,Pay axis,2022-06-17,RAF 800mlx12,86362,Superstore
ODR5715333378w,C725184L,2021-07-16,P669452,139142,1,139142,69066,70075,1,1,1,1,COD,2021-07-19,Life source LS 7001,105734,Health & Sports
ODR7262645225v,C887703L,2021-11-21,P701618,1319500,1,1319500,65975,1253525,1,1,1,4,Pay axis,2021-11-18,interwood HF 01NOR FW 39844,1174326,Home & Living
ODR6523119020w,C382290L,2022-05-21,P457282,638000,2,1276000,63800,1212200,1,0,0,4,Pay axis,2022-05-15,HOS m GAADGPM125,459360,Beauty & Grooming
ODR5243514584l,C788957L,2022-07-13,P307223,410930,1,410930,61639,349290,1,1,1,7,Easy Pay,2022-07-26,Timex T49990,283620,Men Fashion
ODR5317768559t,C115745L,2021-11-26,P825553,306066,1,306066,61213,244852,1,0,0,4,Pay axis,2021-11-04,SNU ME16E 7A,389470,Women Fashion
ODR9639591969t,C899734L,2022-05-19,P200699,203580,1,203580,61074,142506,1,1,1,4,Pay axis,2021-09-04,plk DWI/ 952 069 71,154686,School & Education
ODR5165535270s,C373286L,2022-05-03,P504367,301600,1,301600,59740,241860,1,1,1,4,Pay axis,2022-03-25,jackpot JP 997,250328,Appliances
ODR7456194145a,C556889L,2022-01-06,P484518,395850,1,395850,59377,336472,1,1,0,4,Pay axis,2021-09-16,timex T2P392,281010,Men Fashion
ODR3296997226w,C831683L,2022-06-19,P872944,14209942,1,14209942,58000,14151942,1,0,0,2,Jazz Voucher,2021-07-03,Samsung 60inchesKU7000,12362642,Entertainment
ODR8205292522l,C626266L,2022-02-14,P930755,9802000,1,9802000,58000,9744000,1,0,0,4,Pay axis,2022-02-25,IMAC 21.5 INCH 2.7GHZ QUAD CORE i5,6861400,Computing
ODR9399261305q,C533294L,2022-03-25,P747668,5707142,1,5707142,58000,5649142,1,0,0,7,Easy Pay,2022-03-14,iphone 7 128GB wof Matt Black,4864808,Mobiles & Tablets
ODR4429252613v,C572593L,2022-06-19,P779734,5680404,1,5680404,58000,5622404,1,0,0,4,Pay axis,2022-06-12,iPhone7 Red 256GB,4089870,Mobiles & Tablets
ODR3031398524t,C822231L,2022-05-19,P305199,5342090,1,5342090,58000,5284090,1,0,0,7,Easy Pay,2022-05-21,RM Panasonic K18PKF,4059942,Appliances
ODR1196340161n,C297858L,2022-06-15,P510854,4929942,1,4929942,58000,4871942,1,0,0,4,Pay axis,2022-06-20,Samsung 48inchesJ5000,3450942,Entertainment
ODR4954386932t,C465666L,2022-05-21,P801710,4609840,1,4609840,58000,4551840,1,0,0,7,Easy Pay,2022-05-05,AYS 18LITH11M,2811956,Appliances
ODR1411745604b,C717684L,2022-05-22,P801710,4609840,1,4609840,58000,4551840,1,0,0,7,Easy Pay,2022-05-05,AYS 18LITH11M,2811956,Appliances
ODR7477752031g,C816599L,2022-08-13,P787423,2597820,1,2597820,58000,2539820,1,1,0,4,Pay axis,2022-08-18,Lenovo v310 310 ci5,1708158,Computing
ODR9082166885a,C671880L,2022-06-16,P491161,2588250,1,2588250,58000,2530250,1,0,0,4,Pay axis,2022-05-22,Haier HSU 12 HNF,1734084,Appliances
ODR3557994699j,C491779L,2022-06-18,P228611,2441800,1,2441800,58000,2383800,1,0,0,4,Pay axis,2022-06-23,GMZV Black 4 1TB Horizon Zero Dawn Bundle,1684842,Entertainment
ODR1322322452w,C598984L,2022-06-18,P283167,2159630,1,2159630,58000,2101630,1,1,1,4,Pay axis,2022-06-16,HP Scanner M225dw,1496110,Computing
ODR6249217496u,C724168L,2022-05-20,P640140,1670400,1,1670400,58000,1612400,1,1,0,7,Easy Pay,2021-11-02,FHM DEEP RUST,2171520,Home & Living
ODR7159887897x,C521935L,2022-02-19,P910200,1160000,1,1160000,58000,1102000,1,1,1,4,Pay axis,2021-11-22,Eco Star 32U557 561,875974,Entertainment
ODR2377621883k,C844272L,2022-06-23,P872958,551000,1,551000,58000,493000,1,1,0,4,Pay axis,2022-05-05,ALK FC 08 17 A131140049,385700,Women Fashion
ODR7183517241f,C988571L,2022-06-16,P252396,98310,3,294930,58000,236930,1,1,1,4,Pay axis,2022-06-17,LS 8411356775894,66816,Superstore
ODR4649171800s,C341639L,2021-08-14,P838057,252300,1,252300,58000,194300,1,0,0,1,COD,2021-07-12,audionic6 954217 561370,163966,Entertainment
ODR1382976743p,C807718L,2021-11-14,P419070,116000,2,232000,58000,174000,1,0,0,5,Jazz Wallet,2021-11-15,BFV Black Friday voucher Rs  2000,104400,Others
ODR2786028086s,C446421L,2022-06-07,P945920,377000,1,377000,56550,320450,1,0,0,4,Pay axis,2022-07-10,sgm KTM Polishing Buffer Heavy Duty For Detailing,278980,Superstore
ODR2853079876n,C226430L,2022-08-13,P983274,279270,1,279270,55854,223416,1,0,0,4,Pay axis,2022-05-08,Omron HEM 7120 E,201028,Health & Sports
ODR5971348060b,C712686L,2022-05-21,P452095,1093300,1,1093300,54665,1038635,1,0,0,7,Easy Pay,2022-05-16,FHM ECLIPSE,809042,Home & Living
ODR5872259060o,C977907L,2021-05-10,P270878,119828,3,359484,53922,305561,1,0,0,1,COD,2021-09-17,Paramount 9781910561324,77836,Books
ODR1154090783n,C203544L,2022-04-20,P678309,358730,1,358730,53809,304920,1,0,0,7,Easy Pay,2021-11-20,tmx wtch  T2E581 4,261870,Men Fashion
ODR9128991470b,C396511L,2022-01-06,P475499,118320,3,354960,53244,301716,1,1,1,4,Pay axis,2022-04-10,RAF 800mlx12,86362,Superstore
ODR8196749695r,C613878L,2022-07-27,P204422,87406,3,262218,52443,209774,1,1,1,4,Pay axis,2022-07-20,uni FoodPanda,58522,Superstore
ODR3678705048c,C157544L,2022-04-05,P753586,348000,1,348000,52200,295800,1,1,0,4,Pay axis,2021-11-18,Voucher 6000,219240,Others
ODR5741169286o,C157544L,2022-04-27,P753586,348000,1,348000,52200,295800,1,0,0,4,Pay axis,2021-11-18,Voucher 6000,219240,Others
ODR8512045308p,C254504L,2022-06-18,P874325,493000,1,493000,49300,443700,1,1,0,5,Jazz Wallet,2022-06-06,ALK FC 07 17 A131140048,359890,Women Fashion
ODR6119107959p,C682272L,2022-04-15,P475499,118320,2,236640,46400,190240,1,1,1,1,COD,2022-04-20,RAF 800mlx12,86362,Superstore
ODR8294249799k,C217289L,2022-06-15,P850836,116000,2,232000,46400,185600,1,1,1,4,Pay axis,2022-05-07,Saylani Health Contribution Package 1,96280,Others
ODR9190651304u,C607220L,2022-08-13,P711218,130500,1,130500,45675,84825,1,1,1,4,Pay axis,2021-11-16,Charizma DG35,112230,Others
ODR7025761638f,C738725L,2021-11-22,P998024,852600,2,1705200,42630,1662570,1,0,0,2,Jazz Voucher,2021-08-27,FHM Mild LCD,571242,Home & Living
ODR3399850042b,C656580L,2022-08-13,P951797,60900,2,121800,42630,79170,1,1,1,4,Pay axis,2022-08-15,CITY Light Grey Belt Pant Size L 42   W 40,41992,School & Education
ODR1189102251d,C421614L,2022-06-17,P251175,58000,2,116000,40600,75400,1,1,1,4,Pay axis,2021-07-09,Saylani School Fee Per Month One Child,38280,Others
ODR5998462347q,C866611L,2021-11-19,P358912,809100,1,809100,40455,768645,1,0,0,4,Pay axis,2021-11-24,MORG GCS 27,606796,Health & Sports
ODR8635643665l,C399878L,2021-11-22,P358912,809100,1,809100,40455,768645,1,0,0,4,Pay axis,2021-11-24,MORG GCS 27,606796,Health & Sports
ODR8053828481g,C782569L,2022-10-08,P131066,89842,3,269526,40428,229097,1,0,0,7,Easy Pay,2022-08-10,PNG Pampers 10004048 Hazir,67338,Superstore
ODR2871715456l,C512759L,2022-06-19,P136796,261000,3,783000,39150,743850,1,0,0,4,Pay axis,2022-06-25,nabila NTICE FOR Almond,161820,Beauty & Grooming
ODR6277544838m,C390206L,2022-11-05,P736532,25520,10,255200,38280,216920,1,0,0,4,Pay axis,2021-07-13,SN deal qalmi400gm,19372,Soghaat
ODR8404656928y,C552065L,2022-06-17,P644527,376130,1,376130,37613,338517,1,0,0,5,Jazz Wallet,2022-06-27,Timex TW2P90900,312156,Men Fashion
ODR7147583682t,C835970L,2022-03-26,P534877,58000,3,174000,34800,139200,1,0,0,7,Easy Pay,2022-02-25,RB HouseholdBundle,43500,Superstore
ODR3242745531g,C735239L,2022-04-27,P847875,231942,1,231942,34791,197150,1,1,0,4,Pay axis,2021-08-28,da Ahsan Ul Kalam 555 & Pair of Free Story Book,166982,Books
ODR7698430588q,C390206L,2022-03-08,P198243,220400,1,220400,33060,187340,1,1,0,4,Pay axis,2021-07-13,tr Ginseng Raw Honey Tea 440 g,189544,Soghaat
ODR3027954530e,C390206L,2022-07-13,P198243,220400,1,220400,33060,187340,1,1,1,4,Pay axis,2021-07-13,tr Ginseng Raw Honey Tea 440 g,189544,Soghaat
ODR6140448672s,C989951L,2022-06-15,P712331,162342,1,162342,32468,129873,1,0,0,4,Pay axis,2021-11-25,Edenrobe BTKS 16 3196 28,139606,Kids & Baby
ODR7133583636g,C448709L,2022-06-07,P579281,214600,1,214600,32190,182410,1,0,0,7,Easy Pay,2022-07-05,Relaxsit RS 62,165242,Home & Living
ODR5909858799a,C813303L,2021-09-29,P858868,303514,1,303514,30351,273162,1,0,0,4,Pay axis,2021-07-14,akl A132124689 GFSU1140 S,251894,Women Fashion
ODR3041328940a,C954151L,2022-06-23,P464363,48430,3,145290,29058,116232,1,0,0,4,Pay axis,2022-05-17,LS 8961100500123,32886,Superstore
ODR6223093230h,C777017L,2021-04-11,P653253,171100,9,1539900,29000,1510900,1,0,0,1,COD,2021-11-20,Sapphire US0421,143724,Women Fashion
ODR2232573018s,C192846L,2022-03-07,P495740,1305000,1,1305000,29000,1276000,1,1,1,1,COD,2022-05-07,Ifitness JS9.4A,822150,Health & Sports
ODR8288037175v,C717559L,2022-09-08,P504908,284200,3,852600,29000,823600,1,1,0,1,COD,2022-08-16,Nabila ZEROMAKEUP PEARL,204624,Beauty & Grooming
ODR2006370032a,C226151L,2021-11-27,P130155,756900,1,756900,29000,727900,1,0,0,4,Pay axis,2021-07-04,MORG GCS 26,454140,Health & Sports
ODR1542086061q,C226151L,2021-11-28,P130155,756900,1,756900,29000,727900,1,0,0,4,Pay axis,2021-07-04,MORG GCS 26,454140,Health & Sports
ODR8897342491n,C383266L,2022-10-08,P504908,284200,2,568400,29000,539400,1,0,0,1,COD,2022-08-13,Nabila ZEROMAKEUP PEARL,204624,Beauty & Grooming
ODR5891125226d,C213587L,2022-07-20,P955347,450080,1,450080,29000,421080,1,1,0,1,COD,2022-05-28,timex T2P391,378276,Men Fashion
ODR7597336121a,C517438L,2022-11-07,P341170,432100,1,432100,29000,403100,1,1,0,1,COD,2022-07-25,seagate STEA1500400 1.5TB,345680,Computing
ODR1490511154e,C248634L,2022-07-17,P803301,407160,1,407160,29000,378160,1,1,1,1,COD,2021-09-17,HP White DeskJet 3635,270512,Computing
ODR4181748736a,C788348L,2022-06-08,P569905,377000,1,377000,29000,348000,1,0,0,4,Pay axis,2022-08-25,hop ANKM33,286520,Beauty & Grooming
ODR7860309448r,C944941L,2022-12-07,P396169,376942,1,376942,29000,347942,1,1,0,1,COD,2021-09-13,Transcend TS1TSJ25M3,256302,Computing
ODR6725430076t,C873465L,2022-07-15,P488521,371200,1,371200,29000,342200,1,1,1,1,COD,2022-07-03,seagate STEA1000400 1TB,248704,Computing
ODR1691253905i,C290251L,2022-05-07,P578899,359020,1,359020,29000,330020,1,1,1,1,COD,2022-07-16,HP Printer 2135,311286,Computing
ODR2910563042t,C589584L,2022-07-24,P578899,357860,1,357860,29000,328860,1,1,1,1,COD,2021-07-14,HP Printer 2135,311286,Computing
